[SliceTest] Result:
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 522, validMask: 11010100, nonLeafMask: 11010100]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 538, validMask: 11010100, nonLeafMask: 11010100]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 554, validMask: 01011100, nonLeafMask: 01011100]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 570, validMask: 01110100, nonLeafMask: 01110100]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01110100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 586, validMask: 11101110, nonLeafMask: 11101110]
[ChildDescriptor childPointer: 622, validMask: 11011000, nonLeafMask: 11011000]
[ChildDescriptor childPointer: 630, validMask: 11010100, nonLeafMask: 11010100]
[ChildDescriptor childPointer: 654, validMask: 11101110, nonLeafMask: 11101110]
[ChildDescriptor childPointer: 690, validMask: 10011100, nonLeafMask: 10011100]
[ChildDescriptor childPointer: 714, validMask: 01011100, nonLeafMask: 01011100]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 10011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 01011100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11011000, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11010100, nonLeafMask: 00000000]
[ChildDescriptor childPointer: 0, validMask: 11101110, nonLeafMask: 00000000]
